line	date	vel0	vel_err_left_0	vel_err_right_0	vel_pew_0	vel_pew_err0
FeII_5169	2015-09-11T10:53:36.349	5024.7937483732285	40.83364599790495	40.83364599790495	23.46956729346158	0.8485396445714241
FeII_5169	2015-09-16T12:09:11.274	5031.238562432705	46.487070913904496	46.487070913904496	33.77067377411389	0.6162221183815642
FeII_5169	2015-09-20T13:50:34.512	5042.299141276527	56.88933889866092	56.88933889866092	48.834110038875274	0.7161708518838754
FeII_5169	2015-09-24T12:38:47.580	5047.168009761274	61.64047880588547	61.64047880588547	57.50787145678754	0.8521476576942846
FeII_5169	2015-09-30T12:28:58.217	5050.315129032333	54.20814934331217	54.20814934331217	67.54485345777445	3.7907068352899516
FeII_5169	2015-10-04T00:32:31.748	5048.278806207834	42.72234349870063	42.72234349870063	50.73458438361563	0.2844307445542953
FeII_5169	2015-10-06T10:19:06.800	5052.141711165073	52.0647166593486	52.0647166593486	60.59821147756126	0.6326751998465667
FeII_5169	2015-10-14T11:29:18.305	5061.358882575275	64.88919850988154	64.88919850988154	75.80436349063802	0.7112929210632156
FeII_5169	2015-10-25T10:22:21.833	5065.998274019008	66.3335998099437	66.3335998099437	83.25951453008994	1.3895045805238042
FeII_5169	2015-11-08T00:41:44.609	5075.832387707984	56.829599080731334	56.829599080731334	74.24912650537851	0.5326310442997098
FeII_5169	2015-11-19T00:40:45.880	5081.415949536543	59.029731614506325	59.029731614506325	81.67248506178045	0.46981626349740085
