line	date	vel0	vel_err_left_0	vel_err_right_0	vel_pew_0	vel_pew_err0	vel1	vel_err_left_1	vel_err_right_1	vel_pew_1	vel_pew_err1	vel2	vel_err_left_2	vel_err_right_2	vel_pew_2	vel_pew_err2
CaII	2015-09-16T12:09:11.274	8247.685289853142	53.39440458769632	53.39440458769632	-1.4051251624153142e+16	0.8213627971124681	8291.685289854102	53.39440458769632	53.39440458769632	-9552416230273428.0	0.8213627971124681	8411.685289856721	53.39440458769632	53.39440458769632	-1.041620145674711e+16	0.8213627971124681
CaII	2015-09-20T13:50:34.512	8247.772122910275	50.971763611865974	50.971763611865974	-1.5275115989155394e+16	0.8791000065641467	8291.772122911236	50.971763611865974	50.971763611865974	-1.3956487003403632e+16	0.8791000065641467	8411.772122913855	50.971763611865974	50.971763611865974	-1.2944785686317434e+16	0.8791000065641467
CaII	2015-09-24T12:38:47.580	8253.206946913871	54.1137817121843	54.1137817121843	-1.5708038940473084e+16	1240.1348927814226	8297.206946914832	54.1137817121843	54.1137817121843	-1.2944579183410044e+16	1240.1348927814226	8417.206946917451	54.1137817121843	54.1137817121843	-1.329173817506106e+16	1240.1348927814226
CaII	2015-09-30T12:28:58.217	8265.012047373904	63.61685135296523	63.61685135296523	-1.0098281630075944e+17	3.9126498939787226	8309.012047374865	63.61685135296523	63.61685135296523	-5.342628476450872e+16	3.9126498939787226	8429.012047377484	63.61685135296523	63.61685135296523	-7.799342351890926e+16	3.9126498939787226
CaII	2015-10-04T00:32:31.748	8261.88123055475	53.25321849386995	53.25321849386995	-1.8072506839004132e+16	0.5915800431927108	8305.881230555711	53.25321849386995	53.25321849386995	-1.323915840925312e+16	0.5915800431927108	8425.88123055833	53.25321849386995	53.25321849386995	-1.8186700709113776e+16	0.5915800431927108
CaII	2015-10-06T10:19:06.800	8269.781401718996	56.65630913696423	56.65630913696423	-2.4509171654131556e+16	0.6512688225367904	8313.781401719956	56.65630913696423	56.65630913696423	-1.0204050755098556e+16	0.6512688225367904	8433.781401722576	56.65630913696423	56.65630913696423	-1.670714073023202e+16	0.6512688225367904
CaII	2015-10-14T11:29:18.305	8268.664844671186	51.10555489461291	51.10555489461291	-2.890334519188942e+16	0.738363873165948	8312.664844672147	51.10555489461291	51.10555489461291	-1.8056340841293516e+16	0.738363873165948	8432.664844674766	51.10555489461291	51.10555489461291	-1.7327152030442068e+16	0.738363873165948
CaII	2015-10-25T10:22:21.833	8277.97169508013	52.434946616388956	52.434946616388956	-4.642457744578774e+16	1.0846023507314815	8321.97169508109	52.434946616388956	52.434946616388956	-1.7434123996630988e+16	1.0846023507314815	8441.97169508371	52.434946616388956	52.434946616388956	-2.486897469858609e+16	1.0846023507314815
CaII	2015-11-08T00:41:44.609	8290.214190734907	52.803220125304385	52.803220125304385	-5.748366742069723e+16	0.9174389027506266	8334.214190735867	52.803220125304385	52.803220125304385	-2.578298242685675e+16	0.9174389027506266	8454.214190738487	52.803220125304385	52.803220125304385	-3.5705332133055396e+16	0.9174389027506266
CaII	2015-11-19T00:40:45.880	8288.27096467557	46.403723187963685	46.403723187963685	-3.1720827042281416e+16	0.7132667123892367	8332.27096467653	46.403723187963685	46.403723187963685	-2.7607530131225828e+16	0.7132667123892367	8452.27096467915	46.403723187963685	46.403723187963685	-2.508884817762726e+16	0.7132667123892367
