line	date	vel0	vel_err_left_0	vel_err_right_0	vel_pew_0	vel_pew_err0	vel1	vel_err_left_1	vel_err_right_1	vel_pew_1	vel_pew_err1
FeII_multi	2015-09-11T10:53:36.349	5030.54485007303	42.254882925883734	42.254882925883734	0.0	0.0	5145.574850075541	42.254882925883734	42.254882925883734	0.0	0.0
FeII_multi	2015-09-16T12:09:11.274	5037.089055515867	43.013188591542445	43.013188591542445	0.0	0.0	5159.609055518541	43.013188591542445	43.013188591542445	0.0	0.0
FeII_multi	2015-09-20T13:50:34.512	5042.426877668916	44.11423114311724	44.11423114311724	0.0	0.0	5162.406877671535	44.11423114311724	44.11423114311724	0.0	0.0
FeII_multi	2015-09-24T12:38:47.580	5046.600763229963	44.12658554858136	44.12658554858136	0.0	0.0	5169.000763232635	44.12658554858136	44.12658554858136	0.0	0.0
FeII_multi	2015-09-30T12:28:58.217	5041.548757805879	51.08812874136337	51.08812874136337	0.0	0.0	5167.58875780863	51.08812874136337	51.08812874136337	0.0	0.0
FeII_multi	2015-10-04T00:32:31.748	5059.471385424846	49.51784425924359	49.51784425924359	0.0	0.0	5189.831385427691	49.51784425924359	49.51784425924359	0.0	0.0
FeII_multi	2015-10-06T10:19:06.800	5056.120493025544	48.40476164565604	48.40476164565604	0.0	0.0	5183.510493028325	48.40476164565604	48.40476164565604	0.0	0.0
FeII_multi	2015-10-14T11:29:18.305	5061.567310741233	52.0250198669502	52.0250198669502	0.0	0.0	5195.047310744147	52.0250198669502	52.0250198669502	0.0	0.0
FeII_multi	2015-10-25T10:22:21.833	5069.779421351077	52.966038953520986	52.966038953520986	0.0	0.0	5203.789421354002	52.966038953520986	52.966038953520986	0.0	0.0
FeII_multi	2015-11-08T00:41:44.609	5086.983783849797	52.64847072872388	52.64847072872388	0.0	0.0	5224.463783852798	52.64847072872388	52.64847072872388	0.0	0.0
FeII_multi	2015-11-19T00:40:45.880	5086.55583722311	54.056181803446606	54.056181803446606	0.0	0.0	5224.875837226129	54.056181803446606	54.056181803446606	0.0	0.0
