line	date	vel0	vel_err_left_0	vel_err_right_0	vel_pew_0	vel_pew_err0
HB	2015-09-04T12:22:16.314	4687.156308882588	54.52055849217298	54.52055849217298	0.0	0.0
HB	2015-09-06T10:50:42.698	4681.672947017449	47.12076149392963	47.12076149392963	0.0	0.0
HB	2015-09-07T12:38:35.277	4692.122661717654	47.163266010651085	47.163266010651085	0.0	0.0
HB	2015-09-11T10:53:36.349	4701.451691454749	46.35341299961794	46.35341299961794	0.0	0.0
HB	2015-09-16T12:09:11.274	4711.225040909131	53.84132779154774	53.84132779154774	0.0	0.0
HB	2015-09-20T13:50:34.512	4717.161065108259	59.411091564481396	59.411091564481396	0.0	0.0
HB	2015-09-24T12:38:47.580	4720.075101348202	59.73672806842199	59.73672806842199	0.0	0.0
HB	2015-09-30T12:28:58.217	4735.149742824246	53.88081321499679	53.88081321499679	0.0	0.0
HB	2015-10-04T00:32:31.748	4736.579430628679	42.85803079842591	42.85803079842591	-1.0070078721988298e+16	0.22549666250372638
HB	2015-10-06T10:19:06.800	4737.217804264947	45.55431403169338	45.55431403169338	-1.2950250781004062e+16	0.5855581323977408
HB	2015-10-14T11:29:18.305	4743.303063393671	41.81447476935477	41.81447476935477	-1.5968719081095304e+16	0.6727223616853037
HB	2015-10-25T10:22:21.833	4756.634651554519	38.46646871763753	38.46646871763753	-1.9269655224943932e+16	1.467166524609411
HB	2015-11-08T00:41:44.609	4761.531007533482	40.01274383758469	40.01274383758469	-3.649975520308825e+16	0.4349497450118017
HB	2015-11-19T00:40:45.880	4769.008624972451	41.10598952282342	41.10598952282342	-2.7143064206308904e+16	0.36814175970656343
