line	date	velocity	vel_err_left	vel_err_right	pEW	pEW_err
hbeta	2015-09-04T12:2	4679.717046287026	56.90559728555945	46.559125051820956	25.537383012741586	0.5867158939962983
hbeta	2015-09-06T10:5	4671.112755368088	58.6322957181992	41.38750285990591	33.15429153223102	2.6022518851938985
hbeta	2015-09-07T12:3	4686.368310305889	55.17675642437371	46.55538823306415	31.209590989271813	0.7276074675771366
hbeta	2015-09-11T10:5	4688.781636250698	62.082605383722694	39.66388677293344	38.99234589631146	1.1123482325613825
hbeta	2015-09-16T12:0	4710.59546166137	53.46463836876774	48.290641107274496	48.995564059395726	0.7008523522997433
hbeta	2015-09-20T13:5	4718.438489800097	53.47219523612512	48.29746666488791	54.157291015315614	0.8059936715283709
hbeta	2015-09-30T12:2	4729.901482822379	67.26588910688406	48.293458845968416	57.01790298200507	4.064680255073602
hbeta	2015-10-06T10:1	4741.485368673892	55.205276675655114	55.205276675655114	72.53486270801747	0.858454908706034
hbeta	2015-10-14T11:2	4745.8091055888735	55.192691091866436	53.46791949524595	74.39475687746365	1.0000178292616433
hbeta	2015-10-25T10:2	4764.98985908536	55.18675821281431	77.60637873676933	69.09906173220742	1.735102206573307
