line	date	vel0	vel_err_left_0	vel_err_right_0	vel_pew_0	vel_pew_err0
cachito	2015-09-04T12:22:16.314	6148.906220993674	72.00967021779854	72.00967021779854	0.0	0.0
cachito	2015-09-06T10:50:42.698	6172.912003062665	48.38593212046951	48.38593212046951	25.76712023011949	2.0123410372019026
cachito	2015-09-07T12:38:35.277	6164.652317590577	56.73699356703944	56.73699356703944	36.84403360346771	0.6156543587869284
cachito	2015-09-11T10:53:36.349	6183.398316213963	41.89399583749271	41.89399583749271	24.040083356793392	0.6462983810149133
cachito	2015-09-16T12:09:11.274	6189.267707560073	33.7294457288762	33.7294457288762	17.83289047114426	0.45047739247130836
cachito	2015-09-20T13:50:34.512	6198.148070072466	30.35372382082818	30.35372382082818	14.538563411891285	0.4826064645259254
cachito	2015-09-24T12:38:47.580	6201.7190301077935	27.02559034258322	27.02559034258322	10.878244627233455	0.9524384983731604
cachito	2015-09-30T12:28:58.217	6215.213458839648	35.612938081212334	35.612938081212334	14.742279478921178	2.4668813176021955
cachito	2015-10-04T00:32:31.748	6228.0478486933425	32.39926683384487	32.39926683384487	10.196828549656463	0.2841106840360803
cachito	2015-10-06T10:19:06.800	6225.036308830236	25.56143825769834	25.56143825769834	7.021841551630486	0.40744988127552134
cachito	2015-10-14T11:29:18.305	6244.657204176932	29.605411567482893	29.605411567482893	5.842419691147103	0.43974565535485755
cachito	2015-10-25T10:22:21.833	6257.879459352861	15.547225128311176	15.547225128311176	2.280671846102706	0.6957135419155739
cachito	2015-11-08T00:41:44.609	6275.429868055858	25.8144890545746	25.8144890545746	5.86464930751549	0.44644766238946465
cachito	2015-11-19T00:40:45.880	6258.750605566876	18.16633295248748	18.16633295248748	2.580209315822552	0.35966979374111935
