line	date	vel0	vel_err_left_0	vel_err_right_0	vel_pew_0	vel_pew_err0
HA	2015-09-04T12:22:16.314	6318.227731000876	71.4441098116979	71.4441098116979	0.0	0.0
HA	2015-09-06T10:50:42.698	6305.854158361784	68.14546588852659	68.14546588852659	24.415837887424402	1.9636611597173868
HA	2015-09-07T12:38:35.277	6326.396633213099	59.258430254616925	59.258430254616925	30.250181965032873	0.6726757823076097
HA	2015-09-11T10:53:36.349	6332.152017015563	45.36012992568108	45.36012992568108	18.600178340802433	0.6475909593623854
HA	2015-09-16T12:09:11.274	6345.933409686889	42.87899399271897	42.87899399271897	20.41904329318284	0.44500348512969806
HA	2015-09-20T13:50:34.512	6353.92607075458	39.3561733220575	39.3561733220575	23.15582239808413	0.4828242937777122
HA	2015-09-24T12:38:47.580	6352.175577917511	51.97772617880443	51.97772617880443	33.96553733809098	0.9730801356493174
HA	2015-09-30T12:28:58.217	6354.663034054259	64.30605900684425	64.30605900684425	49.4926991999339	2.465606224954605
HA	2015-10-04T00:32:31.748	6360.005889681251	34.385436026194014	34.385436026194014	21.908368082252647	0.21749091229057924
HA	2015-10-06T10:19:06.800	6364.556218196523	45.8325920627699	45.8325920627699	38.924895613545665	0.4091404129474093
HA	2015-10-14T11:29:18.305	6371.244117134178	46.53263091051065	46.53263091051065	43.38183994525139	0.4303036959392991
HA	2015-10-25T10:22:21.833	6374.928501491095	50.75269926651251	50.75269926651251	48.72884241166234	0.7119753427176667
HA	2015-11-08T00:41:44.609	6379.849124712025	50.36672131824955	50.36672131824955	50.313337923973215	0.44987061944987883
HA	2015-11-19T00:40:45.880	6381.911198058407	46.030155015086166	46.030155015086166	46.396453502534754	0.3546499381418873
