# Downloaded 10/08/2018
# http://kronos.uchicago.edu/snax/
# All SNe with II in type
"name"	"type"	"Date Exploded (JD)"	"Coordinates"	"Distance (Mpc)"	"galaxy"	"redshift"	"redshiftErr"	"Observation Start Date (JD)"	"instrument"	"Age (days)"	"Flux (10^-13 erg cm^-2 s^-1)"	"isUpperBound"	"fluxErrL"	"fluxErrH"	"Energy Lower Bound (KeV)"	"Energy Upper Bound (KeV)"	"Luminosity (10^39 erg s^-1)"	"lumErrL"	"lumErrH"	"model"	"dateExplodedRef"	"redshiftRef"	"dateExplodedRef"	"coordsRef"	"distRef"	"dateObservedRef"	"fluxRef"	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2456788.5	Swift-XRT	1342	1.49	0	0.58	0.58	0.2	10.0	40	20	20	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2456991.5	Swift-XRT	1533	0.72	0	0.44	0.44	0.2	10.0	20	10	10	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2005kd	IIn	2453684.5	04 03 16.88 +71 43 18.9	63.20	LEDA 14370	0.015040	0.000037	2454124.5	Swift	440	2.6	0	1.1	1.3	0.3	8.0	120	50	60	VMEKAL	2016arXiv160706104D	2006AJ....131.1163S	2016arXiv160706104D	2005IAUC.8630....1P	2016arXiv160706104D	2016arXiv160706104D	2016arXiv160706104D	
SN 2005kd	IIn	2453684.5	04 03 16.88 +71 43 18.9	63.2000000000	LEDA 14370	0.0150400000	0.000037000000000	2454163.5	Chandra	479	4.96	0	1.68	2.7	0.3	8.0	240	80	130	VMEKAL	2016arXiv160706104D	2006AJ....131.1163S	2016arXiv160706104D	2005IAUC.8630....1P	2016arXiv160706104D	2016arXiv160706104D	2016arXiv160706104D	
SN 2005kd	IIn	2453684.5	04 03 16.88 +71 43 18.9	63.2000000000	LEDA 14370	0.0150400000	0.000037000000000	2454188.5	XMM-Newton	504	4.14	0	0.94	0.41	0.3	8.0	200	40	20	VMEKAL	2016arXiv160706104D	2006AJ....131.1163S	2016arXiv160706104D	2005IAUC.8630....1P	2016arXiv160706104D	2016arXiv160706104D	2016arXiv160706104D	
SN 2005kd	IIn	2453684.5	04 03 16.88 +71 43 18.9	63.2000000000	LEDA 14370	0.0150400000	0.000037000000000	2454468.5	Chandra	784	4.46	0	2.53	2.5	0.3	8.0	200	100	100	VMEKAL	2016arXiv160706104D	2006AJ....131.1163S	2016arXiv160706104D	2005IAUC.8630....1P	2016arXiv160706104D	2016arXiv160706104D	2016arXiv160706104D	
SN 2005kd	IIn	2453684.5	04 03 16.88 +71 43 18.9	63.2000000000	LEDA 14370	0.0150400000	0.000037000000000	2454699.5	Swift	1015	1.986	0	0.693	0.187	0.3	8.0	90	30	10	VMEKAL	2016arXiv160706104D	2006AJ....131.1163S	2016arXiv160706104D	2005IAUC.8630....1P	2016arXiv160706104D	2016arXiv160706104D	2016arXiv160706104D	
SN 2005kd	IIn	2453684.5	04 03 16.88 +71 43 18.9	63.2000000000	LEDA 14370	0.0150400000	0.000037000000000	2455856.5	Swift	2210	0.67	1	0.0	0.0	0.3	8.0	32	0	0	VMEKAL	2016arXiv160706104D	2006AJ....131.1163S	2016arXiv160706104D	2005IAUC.8630....1P	2016arXiv160706104D	2016arXiv160706104D	2016arXiv160706104D	
SN 2005kd	IIn	2453684.5	04 03 16.88 +71 43 18.9	63.2000000000	LEDA 14370	0.0150400000	0.000037000000000	2456079.5	Swift	2418	0.335	0	0.165	0.018	0.3	8.0	16	8	1	VMEKAL	2016arXiv160706104D	2006AJ....131.1163S	2016arXiv160706104D	2005IAUC.8630....1P	2016arXiv160706104D	2016arXiv160706104D	2016arXiv160706104D	
SN 2005kd	IIn	2453684.5	04 03 16.88 +71 43 18.9	63.2000000000	LEDA 14370	0.0150400000	0.000037000000000	2456625.5	Chandra	2941	0.198	0	0.036	0.044	0.3	8.0	9	2	2	VMEKAL	2016arXiv160706104D	2006AJ....131.1163S	2016arXiv160706104D	2005IAUC.8630....1P	2016arXiv160706104D	2016arXiv160706104D	2016arXiv160706104D	
SN 1998s	IIn	2450875.5	11 46 06.13 +47 28 55.4	17.00	NGC 3877	0.00302	0.00001	2451553.5	Chandra	678	2.7	0	0.0	0.0	2.0	10.0	9.3	0	0	VMEKAL	2002ApJ...572..932P	2011yCat.2306....0A	2002ApJ...572..932P	2003yCat.2246....0C	1988ngc..book.....T	2002ApJ...572..932P	2002ApJ...572..932P	
SN 1998s	IIn	2450875.5	11 46 06.13 +47 28 55.4	17.0000000000	NGC 3877	0.0030200000	0.000010000000000	2451610.5	Chandra	735	2.5	0	0.0	0.0	2.0	10.0	8.6	0	0	VMEKAL	2002ApJ...572..932P	2011yCat.2306....0A	2002ApJ...572..932P	2003yCat.2246....0C	1988ngc..book.....T	2002ApJ...572..932P	2002ApJ...572..932P	
SN 1998s	IIn	2450875.5	11 46 06.13 +47 28 55.4	17.0000000000	NGC 3877	0.0030200000	0.000010000000000	2451750.5	Chandra	875	1.8	0	0.0	0.0	2.0	10.0	6.2	0	0	VMEKAL	2002ApJ...572..932P	2011yCat.2306....0A	2002ApJ...572..932P	2003yCat.2246....0C	1988ngc..book.....T	2002ApJ...572..932P	2002ApJ...572..932P	
