  0.0000000000E+00 -1.2595092518E+01
  3.0579108216E+02 -1.2103424848E+01
  3.3104549338E+02 -1.1680859044E+01
  3.4545274853E+02 -1.1523988067E+01
  3.5515389379E+02 -1.1454489769E+01
  3.6288542941E+02 -1.1426943467E+01
  3.6986380875E+02 -1.1409652970E+01
  3.7657488581E+02 -1.1394034832E+01
  3.8306476947E+02 -1.1379248449E+01
  3.8934136510E+02 -1.1364998498E+01
  3.9543412267E+02 -1.1350968087E+01
  4.0137892879E+02 -1.1337610089E+01
  4.0721325018E+02 -1.1325216603E+01
  4.1296553327E+02 -1.1314064350E+01
  4.1865360845E+02 -1.1303759051E+01
  4.2428171763E+02 -1.1294196372E+01
  4.2986117187E+02 -1.1285483647E+01
  4.3541235144E+02 -1.1278171780E+01
  4.4095524987E+02 -1.1272134848E+01
  4.4649970691E+02 -1.1267392538E+01
  4.5205684183E+02 -1.1263845009E+01
  4.5763111340E+02 -1.1261165207E+01
  4.6323036789E+02 -1.1259402154E+01
  4.6886034037E+02 -1.1258342476E+01
  4.7452538816E+02 -1.1258151549E+01
  4.8023738284E+02 -1.1258895484E+01
  4.8600156621E+02 -1.1260315462E+01
  4.9182748567E+02 -1.1262587915E+01
  4.9772307634E+02 -1.1265569492E+01
  5.0369447046E+02 -1.1269532467E+01
  5.0975632311E+02 -1.1274631685E+01
  5.1591774514E+02 -1.1280574782E+01
  5.2219204215E+02 -1.1287587562E+01
  5.2859571864E+02 -1.1295868176E+01
  5.3514017286E+02 -1.1305095423E+01
  5.4183993333E+02 -1.1315479999E+01
  5.4871230977E+02 -1.1327181006E+01
  5.5577017933E+02 -1.1339727000E+01
  5.6302641395E+02 -1.1353183142E+01
  5.7049520573E+02 -1.1367567551E+01
  5.7818767138E+02 -1.1382231231E+01
  5.8611217767E+02 -1.1397112955E+01
  5.9427876736E+02 -1.1412038871E+01
  6.0269551095E+02 -1.1426153793E+01
  6.1136152632E+02 -1.1439266402E+01
  6.2027165206E+02 -1.1451066575E+01
  6.2941278075E+02 -1.1461387775E+01
  6.3876348443E+02 -1.1469993962E+01
  6.4829187678E+02 -1.1477427358E+01
  6.5797610291E+02 -1.1484000849E+01
  6.6779891219E+02 -1.1489413342E+01
  6.7773901762E+02 -1.1494127897E+01
  6.8778547252E+02 -1.1498473064E+01
  6.9793388850E+02 -1.1502735995E+01
  7.0818453515E+02 -1.1506724874E+01
  7.1853148332E+02 -1.1511011704E+01
  7.2898018258E+02 -1.1515802427E+01
  7.3953877021E+02 -1.1521047493E+01
  7.5021753728E+02 -1.1526869275E+01
  7.6102883558E+02 -1.1532685414E+01
  7.7196917407E+02 -1.1538945427E+01
  7.8304644150E+02 -1.1545639286E+01
  7.9427674417E+02 -1.1552730092E+01
  8.0568281596E+02 -1.1558916004E+01
  8.1723217824E+02 -1.1565198257E+01
  8.2891242235E+02 -1.1570831468E+01
  8.4071144129E+02 -1.1575129667E+01
  8.5259001327E+02 -1.1578134953E+01
  8.6455247975E+02 -1.1577173673E+01
  8.7649261020E+02 -1.1574491069E+01
  8.8833419232E+02 -1.1570645860E+01
  9.0010552692E+02 -1.1566343581E+01
  9.1182722762E+02 -1.1561693025E+01
  9.2349726329E+02 -1.1558068969E+01
  9.3517146270E+02 -1.1552405860E+01
  9.4675799687E+02 -1.1549263255E+01
  9.5818890444E+02 -1.1548404048E+01
  9.6963503845E+02 -1.1549081354E+01
  9.8115410720E+02 -1.1551543197E+01
  9.9279726408E+02 -1.1556404381E+01
  1.0047250134E+03 -1.1561043808E+01
  1.0168914967E+03 -1.1572496101E+01
  1.0292294124E+03 -1.1588988826E+01
  1.0419912118E+03 -1.1608633365E+01
  1.0552153145E+03 -1.1627311513E+01
  1.0688293782E+03 -1.1640605585E+01
  1.0827316571E+03 -1.1647434810E+01
  1.0970114619E+03 -1.1642600141E+01
  1.1114024441E+03 -1.1638052710E+01
  1.1256901205E+03 -1.1634488575E+01
  1.1400291481E+03 -1.1631123472E+01
  1.1543983887E+03 -1.1630975806E+01
  1.1689048515E+03 -1.1632340127E+01
  1.1835626681E+03 -1.1627159366E+01
  1.1980926786E+03 -1.1608688199E+01
  1.2118824003E+03 -1.1571653555E+01
  1.2246972025E+03 -1.1557404141E+01
  1.2377571390E+03 -1.1542406797E+01
  1.2509133413E+03 -1.1523228327E+01
  1.2638743816E+03 -1.1506852603E+01
  1.2763756370E+03 -1.1499588735E+01
  1.2886717621E+03 -1.1510177611E+01
  1.3011066815E+03 -1.1505116543E+01
  1.3128319046E+03 -1.1520554653E+01
  1.3245751778E+03 -1.1555223010E+01
  1.3368023915E+03 -1.1616985605E+01
  1.3501589977E+03 -1.1723904786E+01
  1.3658637513E+03 -1.1921316976E+01
  1.3869013010E+03 -1.2545267605E+01
  1.4648943720E+03 -1.2531033081E+01
  1.5391489875E+03 -1.2471443594E+01
  1.5987470379E+03 -1.2440628454E+01
  1.6504349560E+03 -1.2439560877E+01
  1.6986060412E+03 -1.2456073577E+01
  1.7455548384E+03 -1.2482746210E+01
  1.7924711737E+03 -1.2511832801E+01
  1.8396841903E+03 -1.2535561609E+01
  1.8867508036E+03 -1.2551976284E+01
  1.9329814583E+03 -1.2561832799E+01
  1.9778490043E+03 -1.2569052358E+01
  2.0211820881E+03 -1.2574497653E+01
  2.0629728097E+03 -1.2578822906E+01
  2.1032441259E+03 -1.2582433969E+01
  2.1420598920E+03 -1.2585079383E+01
  2.1794715358E+03 -1.2587246181E+01
  2.2155974846E+03 -1.2589665067E+01
  2.2505595775E+03 -1.2589630482E+01
