phase,v_phot
8.015466597222222,8630.777023584615
9.951883078703704,8903.00820605347
11.0267971875,8384.213667362748
14.953892928240741,8363.696388886889
20.006380486111112,7989.9090705964045
24.076788333333333,7348.415915538936
28.026939583333334,7066.030531379294
34.020118252314816,6883.503423255893
37.52258967592593,7001.606388014641
39.929939814814816,6777.565031436805
47.97868408564815,6242.986104589854
58.9321971412037,5973.909965193276
72.52898853009259,5403.549525056016
83.5283087962963,5079.713246282807
