# E(B-V)i = 0.0
# E(B-V)g = 0.194994761858
# Rvi= 3.1
# Rvg= 3.1
# mu= 18.55
# maxref (exp) = 46849.8
# type= IIP
# ph    lgLt    err
	     96.0 	 41.2724041213 	   0.0 	
	     97.0 	 41.2690962324 	   0.0 	
	     98.0 	 41.2657883435 	   0.0 	
	     99.0 	 41.2624804546 	   0.0 	
	    100.0 	 41.2591725657 	   0.0 	
	    101.0 	 41.2558646767 	   0.0 	
	    102.0 	 41.2525567878 	   0.0 	
	    103.0 	 41.2492488989 	   0.0 	
	    104.0 	   41.24594101 	   0.0 	
	    105.0 	 41.2426331211 	   0.0 	
	    106.0 	 41.2393252322 	   0.0 	
	    107.0 	 41.2360173433 	   0.0 	
	    108.0 	 41.2327094543 	   0.0 	
	    109.0 	 41.2294015654 	   0.0 	
	    110.0 	 41.2260936765 	   0.0 	
	    111.0 	 41.2227857876 	   0.0 	
	    112.0 	 41.2194778987 	   0.0 	
	    113.0 	 41.2161700098 	   0.0 	
	    114.0 	 41.2128621209 	   0.0 	
	    115.0 	 41.2095542319 	   0.0 	
	    116.0 	  41.206246343 	   0.0 	
	    117.0 	 41.2029384541 	   0.0 	
	    118.0 	 41.1996305652 	   0.0 	
	    119.0 	 41.1963226763 	   0.0 	
	    120.0 	 41.1930147874 	   0.0 	
	    121.0 	 41.1897068985 	   0.0 	
	    122.0 	 41.1863990095 	   0.0 	
	    123.0 	 41.1830911206 	   0.0 	
	    124.0 	 41.1797832317 	   0.0 	
	    125.0 	 41.1764753428 	   0.0 	
	    126.0 	 41.1731674539 	   0.0 	
	    127.0 	  41.169859565 	   0.0 	
	    128.0 	 41.1665516761 	   0.0 	
	    129.0 	 41.1632437871 	   0.0 	
	   130.41 	        41.173 	 0.022 	
	   130.67 	        41.158 	 0.022 	
	    131.4 	        41.162 	 0.022 	
	   131.67 	        41.156 	 0.022 	
	   132.12 	        41.154 	 0.022 	
	   132.41 	        41.159 	 0.022 	
	    133.4 	        41.159 	 0.022 	
	   134.87 	        41.149 	 0.022 	
	   135.88 	        41.145 	 0.022 	
	   136.89 	        41.142 	 0.022 	
	   139.86 	        41.139 	 0.022 	
	    140.8 	        41.129 	 0.022 	
	   141.88 	        41.124 	 0.022 	
	   147.88 	          41.1 	 0.022 	
	   148.86 	        41.096 	 0.022 	
	   149.86 	        41.094 	 0.022 	
	    150.8 	        41.091 	 0.022 	
	   155.84 	        41.074 	 0.022 	
	   156.84 	         41.07 	 0.022 	
	    157.1 	        41.061 	 0.022 	
	   157.84 	        41.065 	 0.022 	
	   158.08 	        41.057 	 0.022 	
	   159.09 	        41.052 	 0.022 	
	   159.84 	        41.059 	 0.022 	
	   160.08 	        41.052 	 0.022 	
	   163.86 	        41.046 	 0.022 	
	    164.1 	        41.037 	 0.022 	
	   164.87 	        41.043 	 0.022 	
	   170.72 	        41.024 	 0.022 	
	   171.77 	         41.02 	 0.022 	
	   172.75 	        41.016 	 0.022 	
	   173.86 	        41.016 	 0.022 	
	    175.1 	        41.002 	 0.022 	
	   175.77 	        41.009 	 0.022 	
	   177.08 	        40.995 	 0.022 	
	   177.86 	        41.002 	 0.022 	
	   178.86 	        40.989 	 0.022 	
	   181.82 	        40.988 	 0.022 	
	   183.76 	        40.979 	 0.022 	
	   183.76 	        40.979 	 0.022 	
	   184.79 	        40.974 	 0.022 	
	   188.09 	        40.956 	 0.022 	
	   190.85 	        40.959 	 0.022 	
	   191.74 	         40.96 	 0.022 	
	   192.08 	        40.944 	 0.022 	
	   193.69 	        40.953 	 0.022 	
	   194.73 	        40.947 	 0.022 	
	   195.04 	        40.936 	 0.022 	
	   195.67 	        40.944 	 0.022 	
	   196.69 	        40.944 	 0.022 	
	   197.73 	        40.938 	 0.022 	
	   198.04 	        40.924 	 0.022 	
	   198.86 	        40.928 	 0.022 	
	   199.75 	        40.946 	 0.022 	
	   200.99 	        40.926 	 0.022 	
	    202.8 	        40.921 	 0.022 	
	   204.82 	        40.913 	 0.022 	
	   204.98 	        40.902 	 0.022 	
