# Time(day),log10(lum)
7.034726586493923,43.14729267593127
7.231460011956886,43.13610014178975
7.428554958484662,43.12582533429345
7.625222374109663,43.11511946876495
7.821739562767071,43.10533640227163
8.018393400730034,43.09527326580793
8.215376058137442,43.08559131358004
8.412181636841146,43.07622818064355
8.608898602118924,43.06663095776794
8.80549794702633,43.05768873599519
9.002233293091145,43.0486640304093
9.199271293091146,43.03979754417885
9.395886155359664,43.031355344727665
9.592731265313368,43.022714654053075
9.789710996794849,43.01443042762754
9.98618441230411,43.00632030198727
10.18308444818374,42.99810132443717
10.379995787304109,42.990208237850034
10.57626070165596,42.98239893149448
10.773185440081885,42.97453058774232
10.97003701878559,42.96693179161228
11.166527170405962,42.95937905631814
11.3637179111467,42.95177840882843
11.560477758368924,42.94438303344363
11.757045828970776,42.937029060704546
11.953653975961515,42.92965641607853
12.15063192503559,42.92239754312581
12.34741743313744,42.915204864217344
12.544175944711515,42.90801254705391
12.74112932665596,42.900895469152175
12.937645164618923,42.893873450659676
13.134449543091144,42.88685481030721
13.331413399572627,42.87987884606057
13.527935383368924,42.87300101055186
13.724787404202255,42.866151143579295
13.921445834757813,42.85935742111404
14.118309754896702,42.85262568698673
14.315056981748553,42.845962386053735
14.511721584757812,42.839361008581236
14.708674319711518,42.832819140782284
14.905152909989294,42.82637263903633
15.102097944711517,42.819983476205785
15.298790823183737,42.81368503609002
15.495604539618924,42.80746694094304
15.692378136841146,42.80134171185252
15.888843752581888,42.79532933822179
16.085555861378182,42.78942635255162
16.28273359054485,42.78362217889685
16.479079124109663,42.777961868053225
16.675892039618923,42.7724245862206
16.87265894702633,42.76703934963732
17.069830260683737,42.761785088461615
17.26635896091522,42.75669340610131
17.462962796563367,42.751756328411965
17.660025675035588,42.74698050917712
17.856661663461516,42.74237666336618
18.053399717859666,42.73793309035608
18.250274506054108,42.73366030588249
18.4466747236467,42.729583476527566
18.643641828970775,42.72566300445734
18.84028949795226,42.721909856421185
19.037220302350406,42.718312053765395
19.23396865188744,42.71487904751649
19.430572923878184,42.711599244100206
19.627332801193,42.708473823808994
19.823991222489294,42.705459124594775
20.020724653044848,42.702572596155655
20.21788534517448,42.69981090529171
20.414628312767075,42.69717603954733
20.611077164618923,42.694659583252786
20.80785477225781,42.69224853127583
21.00492669586892,42.689941670260545
21.20138351068374,42.68774290256819
21.398484796563366,42.68562883243446
21.59491603961892,42.683607494654254
21.791836377581884,42.681664054579606
21.98875969123929,42.67980074064098
22.185522975961515,42.67801237631527
22.381981338230034,42.67629510255357
22.578878337072627,42.67463567113571
22.775521587072625,42.673033968076254
22.972412332442996,42.67147928760261
23.1691115673967,42.66996785049218
23.365662875267073,42.668489792604234
23.562475212072627,42.667031708054154
23.759223611378182,42.66558299651583
23.956133267628182,42.66412138564343
24.152826168091146,42.66264585748975
24.349506471331885,42.6611527550397
24.54618456623929,42.65961645574625
24.74302793198003,42.65800360123028
24.939823368322624,42.656305500851396
25.136628632211515,42.65452956561994
25.333399837072626,42.652686347722494
25.530397088230032,42.65077403726588
25.72674463799855,42.648800614230694
25.923609203970774,42.646744634882566
26.120393265313364,42.64462048696966
26.31708549910966,42.64242391043436
26.51415878267448,42.64015414930932
26.71078095397077,42.63781552640546
26.907523043091146,42.63540089389213
27.104201023415218,42.632917672593045
27.30119665998929,42.63035916873972
27.497792311609665,42.627727956739605
27.694546885683735,42.62501528045456
27.891077603276326,42.622234392796585
28.088203367165217,42.619358984863034
28.284839350961512,42.61640032527091
28.481470291933736,42.613356124131045
28.678092823183736,42.61021524523363
28.874985493322622,42.606987495926326
29.07191013452633,42.603659948503854
29.268599533831885,42.600213718982296
29.46520901878559,42.59664641356141
29.662023457442995,42.59292649526464
29.85871382897077,42.58904505523295
30.055536724804103,42.584971121910236
30.25228107434114,42.58068359947053
30.449100671563365,42.57613032694645
30.64579761369299,42.57128255089578
30.8425037711004,42.56612285360396
31.039328848646697,42.560632294991585
31.23613208012818,42.55483149398597
31.43290440535966,42.549259977496206
31.629566768785587,42.546457145782036
31.82635900721151,42.54639366545141
32.02322847480411,42.54693953216689
32.2199886611467,42.547242160632784
32.416538112535584,42.54719494925517
32.61338394934114,42.54689661777669
32.810435613692995,42.54644325998608
33.00712351762818,42.54589261411033
33.20378674679485,42.545280760870504
33.400585657674476,42.544637109225285
33.597399670405956,42.54399346498099
33.79413992040596,42.54337297149156
33.99072728961892,42.542781300398154
34.18742204887818,42.54221218169862
34.38440411948003,42.54166527555128
34.5809216298967,42.541148628578036
34.77763985096151,42.54066710973794
34.97443785790596,42.540221672876314
35.17117104772077,42.53980341689897
35.36793346323003,42.538897540675066
35.564858547720775,42.53739385400865
35.76148333128559,42.535694788627744
35.958578859063365,42.534070034130835
36.155166198183736,42.532557572872236
36.35186307086892,42.531131583276746
36.548761416933736,42.52978745057262
36.74527062526707,42.52851746679961
36.94216333707262,42.52731090195117
37.13888580929485,42.52616293091871
37.33575712873929,42.525051180657
37.53259690188744,42.52396847550107
37.729001085915215,42.52291722080759
37.92604828961892,42.52188618397826
38.12260710096152,42.52088179487747
38.31937106392447,42.51989054853765
38.51621316346151,42.518904936555224
38.71295343892447,42.51792229123011
38.90966820744299,42.51695312011844
39.10667392503559,42.51599728202735
39.30341719818374,42.51505042124477
39.500118396100405,42.51409824173828
39.69667350373929,42.51314668840444
39.89355333128559,42.51219956661564
40.0904029586004,42.51126338206986
40.28718070512818,42.510335123751766
40.48384379540596,42.509407305283894
40.680491078970775,42.50847919541062
40.87720865767447,42.50755347444546
41.07387561253559,42.50663649938
