# rest_wavelength	dust_corr_flux
3326.8501538602377	2.6366379383864054e-16
3328.575318756352	2.3432402608527195e-17
3330.3004836524665	4.320133862948607e-16
3332.0256485485806	5.7751687826661894e-18
3333.750813444695	4.458686497771528e-16
3335.475978340809	8.102546622271296e-16
3337.201143236923	6.781146946278868e-16
3338.9263081330373	9.277862309096486e-17
3340.6514730291515	3.6959428810096915e-16
3342.3766379252656	3.3383483191378593e-16
3344.10180282138	5.779825331267162e-16
3345.826967717494	5.307232822491014e-16
3347.5521326136086	1.446542416804643e-16
3349.2772975097228	5.948323869797355e-16
3351.002462405837	1.1414415813626866e-15
3352.727627301951	9.974908887185505e-16
3354.4527921980653	2.0302239240988916e-16
3356.1779570941794	2.7224612413383915e-16
3357.9031219902936	4.422454838779315e-16
3359.6282868864077	4.968136928372769e-16
3361.353451782522	-5.498696372118797e-17
3363.078616678636	-5.539687253673538e-16
3364.8037815747507	8.690153645352114e-16
3366.528946470865	1.4605825564520848e-15
3368.254111366979	9.631063084502913e-16
3369.979276263093	7.833031561819127e-16
3371.7044411592074	6.11708181555314e-16
3373.4296060553215	6.234359088530611e-16
3375.1547709514357	2.46024868569437e-16
3376.87993584755	5.690078437577626e-16
3378.605100743664	8.953096516780523e-16
3380.3302656397786	3.696813976357378e-16
3382.055430535893	2.5589629481150934e-17
3383.780595432007	-5.663803003929537e-17
3385.505760328121	5.885352553803976e-16
3387.2309252242353	6.674638906076672e-16
3388.9560901203495	5.69224338988564e-16
3390.6812550164636	8.025503500693411e-16
3392.406419912578	8.562746328624565e-16
3394.131584808692	7.232171847058388e-16
3395.856749704806	1.1217579108453862e-15
3397.5819146009208	9.9212743702169e-16
3399.307079497035	6.200134893486432e-16
3401.032244393149	7.440622127162775e-16
3402.7574092892633	6.168722615217155e-16
3404.4825741853774	2.5795397641363943e-17
3406.2077390814916	5.17552349545661e-16
3407.9329039776057	5.93777995322682e-16
3409.65806887372	1.0239526584184563e-15
3411.383233769834	3.2320650382547784e-16
3413.1083986659482	2.335774617557747e-16
3414.833563562063	3.227523566157858e-16
3416.558728458177	4.898605571927444e-16
3418.283893354291	8.385875591450038e-16
3420.0090582504054	8.579228257598392e-16
3421.7342231465195	3.818819899611594e-16
3423.4593880426337	2.525495538271555e-16
3425.184552938748	6.241884323402056e-16
3426.909717834862	7.307212405533393e-16
3428.634882730976	7.551832820002815e-16
3430.3600476270904	5.490585465311635e-16
3432.085212523205	3.392073950028718e-16
3433.810377419319	5.052157278455289e-16
3435.5355423154333	6.225424401826603e-16
3437.2607072115475	7.243249238802697e-16
3438.9858721076616	7.228141927295948e-16
3440.711037003776	1.7690561784242785e-16
3442.43620189989	6.391570857287912e-16
3444.161366796004	6.750271291314741e-16
3445.8865316921183	8.40426492791042e-16
3447.611696588233	1.9006174590867552e-16
3449.336861484347	9.546202198684924e-16
3451.0620263804612	9.347507669620114e-16
3452.7871912765754	4.998337683056207e-16
3454.5123561726896	5.478103550561394e-16
3456.2375210688037	9.033777717712112e-16
3457.962685964918	1.0375853097961002e-15
3459.687850861032	1.040366350161993e-15
3461.4130157571462	5.33451768192219e-16
3463.1381806532604	8.616963283532923e-16
3464.863345549375	8.189926548819747e-16
3466.588510445489	4.0137856358325225e-16
3468.3136753416034	4.0318356883247873e-16
3470.0388402377175	4.173732746006556e-16
3471.7640051338317	6.116453671707555e-16
3473.489170029946	5.232204215244057e-16
3475.21433492606	7.023979163560652e-16
3476.939499822174	2.7049313642447736e-16
3478.6646647182883	3.733823808131904e-16
3480.3898296144025	4.671907786766362e-16
3482.114994510517	8.611393186892294e-17
3483.8401594066313	-4.788666762828562e-17
3485.5653243027455	4.314829728549092e-17
3487.2904891988596	4.449415382206885e-16
3489.015654094974	9.169637373244523e-16
3490.740818991088	3.278463212007691e-16
3492.465983887202	3.918812650450633e-16
3494.1911487833163	6.836324591116421e-16
3495.9163136794305	5.444645780106651e-16
3497.6414785755446	5.825236019799986e-16
3499.3666434716592	1.86243255253103e-16
3501.0918083677734	2.1052607377770017e-16
3502.8169732638876	8.025923587148117e-16
3504.5421381600017	5.363065447391685e-16
3506.267303056116	6.250391430558334e-16
3507.99246795223	4.763613683336491e-16
3509.7176328483442	6.221016015065894e-16
3511.4427977444584	6.538770284813866e-16
3513.1679626405726	4.2639548571061997e-16
